playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8477968,2022,Alex Nedeljkovic,DET,G,5on5,9,25122.0,18.65,24.0,430.0,15.21,24.0,55.8,63.0,229.28,236.0,5.45,2.0,127.98,109.0,93.56,92.0,17.79,250.0,55.0,14.0,7.47,6.52,4.65,12.0,8.0,4.0,111.0,2.0,1.0
8477968,2022,Alex Nedeljkovic,DET,G,4on5,9,1657.0,3.15,7.0,56.0,2.62,1.0,6.42,6.0,30.48,30.0,0.12,0.0,19.54,21.0,10.3,8.0,3.04,34.0,7.0,2.0,1.22,0.86,1.07,4.0,1.0,2.0,13.0,0.0,0.0
8477968,2022,Alex Nedeljkovic,DET,G,5on4,9,3197.0,0.81,3.0,15.0,0.46,0.0,1.55,2.0,9.98,13.0,1.68,0.0,3.08,1.0,6.83,7.0,0.8,11.0,1.0,1.0,0.41,0.1,0.3,3.0,0.0,0.0,2.0,0.0,0.0
8477967,2022,Thatcher Demko,VAN,G,other,15,787.0,1.73,3.0,27.0,1.18,1.0,2.95,2.0,15.95,15.0,0.2,0.0,9.14,10.0,6.45,6.0,1.63,12.0,9.0,1.0,0.42,1.11,0.2,0.0,3.0,0.0,5.0,0.0,0.0
8477967,2022,Thatcher Demko,VAN,G,all,15,51277.0,44.81,56.0,828.0,32.63,39.0,106.5,97.0,462.73,478.0,12.71,13.0,252.41,211.0,189.15,218.0,42.99,456.0,137.0,48.0,13.76,16.84,14.22,15.0,27.0,14.0,187.0,4.0,2.0
8477967,2022,Thatcher Demko,VAN,G,5on5,15,42555.0,35.22,36.0,688.0,26.34,36.0,91.6,86.0,384.78,395.0,10.29,10.0,209.84,175.0,157.14,183.0,33.74,390.0,105.0,38.0,11.69,12.9,10.64,11.0,17.0,8.0,155.0,4.0,2.0
8477967,2022,Thatcher Demko,VAN,G,4on5,15,3514.0,6.52,14.0,92.0,4.47,2.0,9.95,9.0,48.42,52.0,0.15,0.0,29.51,23.0,15.87,17.0,6.29,44.0,16.0,8.0,1.46,1.92,3.15,4.0,5.0,5.0,24.0,0.0,0.0
8477967,2022,Thatcher Demko,VAN,G,5on4,15,4421.0,1.34,3.0,21.0,0.64,0.0,2.0,0.0,13.59,16.0,2.07,3.0,3.92,3.0,9.69,12.0,1.33,10.0,7.0,1.0,0.2,0.91,0.23,0.0,2.0,1.0,3.0,0.0,0.0
8476999,2022,Linus Ullmark,BOS,G,other,33,4084.0,11.43,4.0,150.0,6.48,12.0,15.55,14.0,80.66,74.0,1.33,1.0,48.11,46.0,26.58,32.0,10.22,64.0,32.0,15.0,2.16,4.06,5.21,0.0,1.0,3.0,39.0,0.0,0.0
8476999,2022,Linus Ullmark,BOS,G,all,33,115286.0,90.91,61.0,1819.0,69.11,93.0,224.25,233.0,972.81,961.0,30.82,34.0,536.6,439.0,385.1,475.0,86.79,971.0,275.0,93.0,26.02,34.07,30.82,17.0,21.0,23.0,480.0,2.0,1.0
