team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2022,PHI,PHI,Team Level,other,52,0.46,0.45,0.45,7058.0,86.94,18.51,5.98,15.7,2.76,45.66,28.38,17.66,18.51,17.66,83.0,34.0,42.0,159.0,15.0,9.0,1.0,12.0,4.0,36.0,41.0,68.0,102.0,7.0,14.0,69.0,21.0,17.0,9.0,60.0,34.0,23.0,2.24,4.29,11.99,2.0,3.0,10.0,159.0,117.0,117.0,4.0,1.72,2.55,2.55,17.68,17.68,17.37,105.54,22.05,6.97,19.35,3.47,56.26,35.9,20.36,22.05,20.36,106.0,38.0,50.0,194.0,28.0,11.0,2.0,15.0,6.0,47.0,37.0,78.0,116.0,2.0,4.0,86.0,19.0,12.0,18.0,82.0,35.0,27.0,3.19,4.61,14.25,5.0,8.0,15.0,194.0,144.0,144.0,7.0,1.92,3.4,3.4,20.57,20.57,19.7
PHI,2022,PHI,PHI,Team Level,all,52,0.46,0.47,0.48,188996.0,1546.67,148.4,106.51,359.77,51.17,845.42,626.73,142.3,148.78,142.67,1558.0,580.0,722.0,2860.0,143.0,131.0,19.0,364.0,57.0,621.0,822.0,1415.0,1995.0,210.0,495.0,1339.0,1482.0,304.0,388.0,1578.0,398.0,162.0,44.78,48.47,55.14,55.0,39.0,49.0,2859.15,2138.0,2136.28,259.0,23.34,28.71,28.79,142.94,143.18,139.92,1710.54,176.48,121.45,393.15,56.17,930.03,674.71,168.26,177.11,168.85,1649.0,703.0,902.0,3254.0,163.0,163.0,16.0,376.0,55.0,768.0,827.0,1486.0,2189.0,209.0,497.0,1590.0,1222.0,333.0,444.0,1646.0,519.0,187.0,48.68,64.25,63.55,47.0,61.0,55.0,3268.74,2352.0,2363.28,278.0,26.93,34.74,34.74,168.67,169.25,164.8
PHI,2022,PHI,PHI,Team Level,5on5,52,0.46,0.47,0.48,151633.0,1218.48,101.47,81.34,296.07,40.63,667.45,500.03,98.57,101.86,98.94,1231.0,456.0,566.0,2253.0,95.0,103.0,16.0,313.0,41.0,475.0,660.0,1136.0,1592.0,191.0,457.0,1020.0,1395.0,239.0,329.0,1277.0,309.0,101.0,36.42,37.54,27.51,44.0,26.0,25.0,2252.15,1687.0,1685.28,233.0,16.8,21.16,21.25,97.03,97.27,96.08,1311.04,118.42,89.03,314.55,42.84,711.96,531.21,113.77,119.06,114.36,1278.0,530.0,721.0,2529.0,101.0,118.0,10.0,315.0,38.0,580.0,656.0,1177.0,1707.0,190.0,457.0,1211.0,1140.0,271.0,351.0,1292.0,400.0,116.0,37.73,49.51,31.19,36.0,44.0,21.0,2543.74,1808.0,1819.28,242.0,18.49,23.75,24.09,112.82,113.41,111.19
PHI,2022,PHI,PHI,Team Level,4on5,52,0.15,0.15,0.18,15294.0,54.07,5.29,2.8,7.32,1.68,17.29,38.63,5.25,5.29,5.25,61.0,12.0,11.0,84.0,9.0,2.0,0.0,3.0,3.0,11.0,45.0,52.0,64.0,4.0,8.0,121.0,41.0,37.0,22.0,52.0,13.0,8.0,1.36,1.64,2.3,1.0,5.0,3.0,84.0,73.0,73.0,20.0,0.65,0.33,0.33,5.61,5.61,5.59,248.09,31.15,23.16,52.59,8.33,147.91,75.85,29.44,31.15,29.44,212.0,127.0,122.0,461.0,31.0,31.0,4.0,42.0,10.0,133.0,92.0,181.0,308.0,10.0,20.0,161.0,13.0,11.0,44.0,229.0,74.0,36.0,6.47,8.8,15.88,5.0,9.0,17.0,461.0,339.0,339.0,2.0,5.99,6.89,6.55,30.59,30.59,29.31
PHI,2022,PHI,PHI,Team Level,5on4,52,0.83,0.84,0.81,15011.0,187.17,23.13,16.4,40.68,6.09,115.01,59.69,20.81,23.13,20.81,183.0,78.0,103.0,364.0,24.0,17.0,2.0,36.0,9.0,99.0,76.0,159.0,237.0,8.0,16.0,129.0,25.0,11.0,28.0,189.0,42.0,30.0,4.76,5.01,13.35,8.0,5.0,11.0,364.0,261.0,261.0,2.0,4.17,4.67,4.67,22.62,22.62,20.89,45.86,4.86,2.3,6.66,1.53,13.9,31.75,4.7,4.86,4.7,53.0,8.0,9.0,70.0,3.0,3.0,0.0,4.0,1.0,8.0,42.0,50.0,58.0,7.0,16.0,132.0,50.0,39.0,31.0,43.0,10.0,8.0,1.29,1.33,2.24,1.0,0.0,2.0,70.0,61.0,61.0,27.0,0.53,0.71,0.71,4.69,4.69,4.6
BUF,2022,BUF,BUF,Team Level,other,50,0.51,0.46,0.44,5912.0,84.7,25.99,5.68,14.52,2.8,39.1,27.9,24.17,25.99,24.17,84.0,32.0,38.0,154.0,26.0,9.0,1.0,13.0,8.0,34.0,26.0,58.0,90.0,4.0,8.0,74.0,14.0,14.0,12.0,46.0,33.0,37.0,1.77,4.27,19.95,1.0,8.0,17.0,154.0,116.0,116.0,6.0,1.6,2.56,2.56,25.02,25.02,23.55,104.14,25.27,7.69,17.05,3.38,60.27,31.33,23.04,25.27,23.04,105.0,40.0,34.0,179.0,23.0,7.0,1.0,14.0,3.0,61.0,37.0,82.0,122.0,6.0,12.0,99.0,11.0,10.0,5.0,73.0,40.0,32.0,2.87,4.99,17.41,4.0,5.0,14.0,179.0,145.0,145.0,3.0,2.19,2.11,2.11,25.35,25.35,23.62
BUF,2022,BUF,BUF,Team Level,all,50,0.49,0.52,0.5,181802.0,1612.57,169.8,111.86,358.88,52.27,873.47,643.7,162.44,170.07,162.75,1624.0,586.0,714.0,2924.0,185.0,141.0,12.0,330.0,61.0,708.0,785.0,1439.0,2025.0,174.0,360.0,1325.0,675.0,362.0,320.0,1570.0,476.0,164.0,50.33,57.8,61.67,51.0,72.0,62.0,2935.05,2210.0,2215.62,146.0,24.57,28.52,28.52,165.86,166.31,162.01,1585.84,176.12,111.97,355.54,51.87,872.1,616.41,168.09,176.46,168.42,1633.0,551.0,568.0,2752.0,169.0,147.0,28.0,372.0,48.0,671.0,778.0,1464.0,2015.0,196.0,403.0,1616.0,1104.0,373.0,336.0,1508.0,489.0,187.0,46.99,59.82,69.3,50.0,62.0,57.0,2752.16,2184.0,2187.23,174.0,24.97,33.55,33.55,167.54,167.99,163.41
BUF,2022,BUF,BUF,Team Level,5on5,50,0.49,0.52,0.51,146639.0,1258.3,107.15,84.12,291.61,40.69,685.57,513.86,103.27,107.41,103.58,1253.0,470.0,564.0,2287.0,115.0,104.0,5.0,276.0,42.0,561.0,625.0,1138.0,1608.0,147.0,306.0,1020.0,613.0,297.0,260.0,1279.0,361.0,83.0,41.53,43.6,22.02,43.0,50.0,22.0,2298.05,1723.0,1728.62,123.0,17.33,18.51,18.51,105.98,106.44,104.65,1193.86,110.21,80.3,281.62,39.3,652.19,481.37,106.24,110.56,106.57,1243.0,402.0,454.0,2099.0,109.0,113.0,18.0,313.0,39.0,470.0,602.0,1134.0,1536.0,172.0,355.0,1247.0,1031.0,307.0,289.0,1171.0,377.0,97.0,36.91,46.24,27.06,41.0,51.0,17.0,2099.16,1645.0,1648.23,155.0,16.63,22.95,22.95,103.89,104.34,102.56
BUF,2022,BUF,BUF,Team Level,4on5,50,0.15,0.16,0.16,13298.0,48.29,5.98,2.77,6.6,1.52,14.72,32.41,5.86,5.98,5.86,55.0,9.0,14.0,78.0,6.0,4.0,1.0,2.0,0.0,8.0,44.0,49.0,58.0,8.0,16.0,84.0,38.0,44.0,13.0,35.0,22.0,7.0,1.06,2.95,1.98,1.0,2.0,3.0,78.0,64.0,64.0,13.0,0.63,1.01,1.01,5.6,5.6,5.57,247.13,35.17,21.57,51.13,8.01,147.2,77.93,33.49,35.17,33.49,244.0,97.0,76.0,417.0,35.0,26.0,9.0,41.0,5.0,131.0,103.0,209.0,306.0,7.0,14.0,142.0,11.0,10.0,31.0,233.0,59.0,49.0,6.26,6.78,22.14,5.0,4.0,26.0,417.0,341.0,341.0,5.0,5.6,8.16,8.16,32.61,32.61,31.57
BUF,2022,BUF,BUF,Team Level,5on4,50,0.85,0.88,0.85,15953.0,221.28,30.69,19.28,46.16,7.26,134.07,69.53,29.13,30.69,29.13,232.0,75.0,98.0,405.0,38.0,24.0,5.0,39.0,11.0,105.0,90.0,194.0,269.0,15.0,30.0,147.0,10.0,7.0,35.0,210.0,60.0,37.0,5.99,7.0,17.71,6.0,12.0,20.0,405.0,307.0,307.0,4.0,5.01,6.44,6.44,29.27,29.27,28.23,40.7,5.46,2.4,5.74,1.17,12.44,25.79,5.32,5.46,5.32,41.0,12.0,4.0,57.0,2.0,1.0,0.0,4.0,1.0,9.0,36.0,39.0,51.0,11.0,22.0,128.0,51.0,46.0,11.0,31.0,13.0,9.0,0.96,1.81,2.7,0.0,2.0,0.0,57.0,53.0,53.0,11.0,0.55,0.32,0.32,5.68,5.68,5.66
MTL,2022,MTL,MTL,Team Level,other,51,0.34,0.5,0.48,6630.0,92.24,15.89,7.24,16.48,3.06,49.99,31.33,14.23,15.89,14.23,89.0,35.0,52.0,176.0,16.0,8.0,0.0,9.0,3.0,47.0,41.0,73.0,108.0,5.0,13.0,83.0,14.0,6.0,20.0,58.0,43.0,23.0,2.38,5.27,8.24,5.0,5.0,6.0,176.0,124.0,124.0,14.0,2.1,2.34,2.18,15.82,15.82,14.75,100.83,30.66,6.91,15.63,3.15,48.98,31.68,27.2,30.66,27.2,102.0,35.0,42.0,179.0,29.0,8.0,0.0,10.0,3.0,46.0,41.0,73.0,108.0,10.0,25.0,89.0,23.0,11.0,23.0,54.0,35.0,48.0,2.23,4.03,24.4,3.0,7.0,19.0,179.0,137.0,137.0,19.0,2.05,3.87,3.87,28.84,28.84,26.4
MTL,2022,MTL,MTL,Team Level,all,51,0.41,0.45,0.45,185639.0,1421.64,139.63,100.14,325.18,46.44,766.67,562.94,133.11,138.53,132.05,1420.0,521.0,736.0,2677.0,130.0,130.0,25.0,290.0,33.0,638.0,720.0,1290.0,1811.0,212.0,500.0,1412.0,1001.0,312.0,617.0,1379.0,403.0,159.0,40.93,49.97,48.72,38.0,48.0,44.0,2636.86,1941.0,1919.75,476.0,22.26,27.74,27.85,134.05,133.16,130.03,1736.71,201.82,126.69,392.95,57.89,938.13,657.51,188.54,204.1,190.73,1733.0,642.0,856.0,3231.0,189.0,200.0,31.0,331.0,47.0,805.0,803.0,1544.0,2186.0,198.0,455.0,1413.0,1058.0,365.0,570.0,1606.0,521.0,248.0,49.17,64.86,87.79,39.0,73.0,77.0,3291.32,2375.0,2410.14,426.0,28.48,47.22,47.29,183.02,185.05,178.37
MTL,2022,MTL,MTL,Team Level,5on5,51,0.44,0.47,0.46,146611.0,1103.91,97.62,73.44,261.68,35.93,596.29,448.03,94.1,96.52,93.04,1107.0,406.0,590.0,2103.0,93.0,97.0,22.0,247.0,20.0,502.0,554.0,1014.0,1420.0,182.0,434.0,1055.0,926.0,265.0,514.0,1121.0,290.0,102.0,32.92,36.39,28.32,32.0,36.0,25.0,2062.86,1513.0,1491.75,402.0,15.25,21.01,21.29,91.59,90.71,89.32,1284.15,124.44,88.85,308.23,42.91,686.11,503.47,118.54,126.71,120.73,1271.0,483.0,654.0,2408.0,115.0,150.0,20.0,262.0,37.0,555.0,635.0,1156.0,1639.0,172.0,400.0,1046.0,980.0,296.0,493.0,1227.0,382.0,145.0,37.99,48.23,38.23,31.0,54.0,30.0,2468.32,1754.0,1789.14,377.0,18.52,30.9,30.97,112.0,114.03,111.91
MTL,2022,MTL,MTL,Team Level,4on5,51,0.09,0.1,0.11,16648.0,39.66,3.94,2.49,6.24,1.4,13.87,27.07,3.82,3.94,3.82,43.0,12.0,13.0,68.0,1.0,1.0,0.0,3.0,0.0,13.0,37.0,42.0,54.0,8.0,21.0,140.0,44.0,34.0,57.0,37.0,16.0,2.0,1.2,2.09,0.64,0.0,1.0,0.0,68.0,55.0,55.0,56.0,0.57,0.27,0.27,4.23,4.23,4.21,306.97,41.03,28.31,62.29,10.31,188.6,93.45,37.19,41.03,37.19,309.0,115.0,156.0,580.0,44.0,39.0,11.0,50.0,7.0,193.0,91.0,265.0,380.0,8.0,14.0,161.0,16.0,15.0,28.0,290.0,87.0,47.0,7.92,10.3,22.81,5.0,12.0,27.0,580.0,424.0,424.0,4.0,7.31,11.79,11.79,36.55,36.55,34.45
MTL,2022,MTL,MTL,Team Level,5on4,51,0.8,0.84,0.81,15750.0,185.82,22.18,16.97,40.78,6.05,106.51,56.5,20.95,22.18,20.95,181.0,68.0,81.0,330.0,20.0,24.0,3.0,31.0,10.0,76.0,88.0,161.0,229.0,17.0,32.0,134.0,17.0,7.0,26.0,163.0,54.0,32.0,4.43,6.22,11.52,1.0,6.0,13.0,330.0,249.0,249.0,4.0,4.33,4.11,4.11,22.41,22.41,21.75,44.77,5.69,2.63,6.81,1.52,14.44,28.92,5.61,5.69,5.61,51.0,9.0,4.0,64.0,1.0,3.0,0.0,9.0,0.0,11.0,36.0,50.0,59.0,8.0,16.0,117.0,39.0,43.0,26.0,35.0,17.0,8.0,1.04,2.3,2.36,0.0,0.0,1.0,64.0,60.0,60.0,26.0,0.6,0.66,0.66,5.64,5.64,5.61
TBL,2022,TBL,TBL,Team Level,other,50,0.52,0.49,0.52,7196.0,104.18,26.56,7.14,18.35,3.69,56.64,30.64,24.59,26.56,24.59,111.0,32.0,40.0,183.0,26.0,10.0,2.0,25.0,3.0,44.0,35.0,85.0,117.0,5.0,10.0,97.0,28.0,15.0,14.0,69.0,37.0,37.0,2.71,4.58,19.26,6.0,2.0,18.0,183.0,143.0,143.0,8.0,2.2,4.05,4.05,24.71,24.71,23.32,96.37,24.21,6.92,17.14,3.14,50.25,29.34,23.22,24.21,23.22,97.0,34.0,62.0,193.0,21.0,8.0,1.0,17.0,5.0,45.0,35.0,76.0,110.0,8.0,16.0,91.0,24.0,11.0,15.0,58.0,41.0,32.0,2.14,5.08,16.99,2.0,5.0,14.0,193.0,131.0,131.0,4.0,2.03,2.07,2.34,23.91,23.91,23.24
TBL,2022,TBL,TBL,Team Level,all,50,0.53,0.51,0.51,181443.0,1612.9,184.4,116.89,358.44,53.67,889.11,625.49,174.34,185.53,175.42,1601.0,627.0,719.0,2947.0,178.0,159.0,27.0,370.0,63.0,718.0,740.0,1423.0,2050.0,219.0,504.0,1473.0,1210.0,514.0,465.0,1479.0,556.0,193.0,46.27,67.79,70.35,44.0,64.0,70.0,2985.0,2228.0,2249.56,219.0,26.13,35.31,35.31,175.22,176.05,170.82,1539.37,166.29,110.22,350.66,51.42,842.46,599.95,158.72,166.51,158.92,1568.0,553.0,723.0,2844.0,151.0,138.0,15.0,351.0,50.0,642.0,789.0,1417.0,1970.0,224.0,528.0,1373.0,1428.0,520.0,325.0,1481.0,458.0,182.0,43.46,56.46,66.37,42.0,52.0,57.0,2831.03,2121.0,2116.12,154.0,24.64,30.69,30.69,160.24,160.45,156.86
TBL,2022,TBL,TBL,Team Level,5on5,50,0.53,0.51,0.51,143956.0,1237.61,120.63,87.24,289.37,41.35,679.89,493.52,114.89,121.76,115.96,1223.0,489.0,565.0,2277.0,112.0,133.0,22.0,297.0,51.0,542.0,577.0,1111.0,1600.0,189.0,444.0,1105.0,1096.0,407.0,392.0,1190.0,404.0,118.0,37.71,49.71,33.22,33.0,43.0,36.0,2315.0,1712.0,1733.56,198.0,18.15,27.54,27.54,111.24,112.07,109.77,1173.97,108.12,80.1,279.71,39.12,640.91,471.03,103.68,108.35,103.89,1202.0,417.0,542.0,2161.0,92.0,106.0,11.0,296.0,34.0,472.0,619.0,1110.0,1527.0,194.0,466.0,1025.0,1317.0,426.0,265.0,1165.0,345.0,109.0,34.58,42.84,30.7,34.0,35.0,23.0,2148.03,1619.0,1614.12,138.0,16.6,22.64,22.38,102.35,102.56,100.89
TBL,2022,TBL,TBL,Team Level,4on5,50,0.11,0.13,0.14,14884.0,39.23,3.69,2.02,5.72,1.18,12.41,27.99,3.57,3.69,3.57,40.0,13.0,8.0,61.0,1.0,2.0,0.0,8.0,0.0,10.0,32.0,39.0,52.0,9.0,18.0,127.0,55.0,60.0,9.0,37.0,14.0,2.0,1.32,1.85,0.51,0.0,1.0,0.0,61.0,53.0,53.0,8.0,0.47,0.45,0.45,3.71,3.71,3.65,227.77,30.01,21.01,48.16,7.95,137.48,70.39,27.89,30.01,27.89,225.0,90.0,110.0,425.0,31.0,24.0,3.0,35.0,8.0,115.0,102.0,194.0,284.0,14.0,28.0,135.0,30.0,20.0,32.0,219.0,58.0,38.0,5.54,6.67,17.8,4.0,10.0,17.0,425.0,315.0,315.0,2.0,5.5,5.98,5.98,29.54,29.54,28.3
TBL,2022,TBL,TBL,Team Level,5on4,50,0.89,0.87,0.85,15407.0,231.88,33.53,20.48,45.0,7.46,140.17,73.35,31.31,33.53,31.31,227.0,93.0,106.0,426.0,39.0,14.0,3.0,40.0,9.0,122.0,96.0,188.0,281.0,16.0,32.0,144.0,31.0,32.0,50.0,183.0,101.0,36.0,4.53,11.64,17.37,5.0,18.0,16.0,426.0,320.0,320.0,5.0,5.32,3.27,3.27,35.57,35.57,34.07,41.24,3.94,2.19,5.65,1.21,13.83,29.19,3.93,3.94,3.93,44.0,12.0,9.0,65.0,7.0,0.0,0.0,3.0,3.0,10.0,33.0,37.0,49.0,8.0,18.0,122.0,57.0,63.0,13.0,39.0,14.0,3.0,1.19,1.87,0.88,2.0,2.0,3.0,65.0,56.0,56.0,10.0,0.5,0.0,0.0,4.44,4.44,4.43
CBJ,2022,CBJ,CBJ,Team Level,other,51,0.58,0.56,0.55,7251.0,120.34,25.95,10.15,21.5,4.27,67.3,32.83,21.52,25.95,21.52,114.0,48.0,46.0,208.0,17.0,19.0,2.0,15.0,5.0,68.0,38.0,97.0,145.0,4.0,8.0,84.0,15.0,14.0,14.0,70.0,52.0,40.0,2.48,6.4,17.07,4.0,5.0,8.0,208.0,162.0,162.0,4.0,2.93,7.06,7.06,21.83,21.83,19.29,95.39,18.83,6.78,16.94,3.09,52.94,32.41,18.15,18.83,18.15,87.0,44.0,35.0,166.0,23.0,6.0,3.0,17.0,3.0,43.0,39.0,64.0,108.0,3.0,6.0,81.0,13.0,9.0,8.0,75.0,30.0,26.0,2.88,3.85,12.11,5.0,5.0,13.0,166.0,131.0,131.0,2.0,1.96,1.77,1.77,19.02,19.02,18.49
CBJ,2022,CBJ,CBJ,Team Level,all,51,0.45,0.46,0.46,184994.0,1508.01,146.52,104.91,342.87,50.11,823.02,600.57,138.7,144.95,137.2,1470.0,598.0,721.0,2789.0,130.0,135.0,14.0,358.0,57.0,651.0,737.0,1340.0,1938.0,191.0,415.0,1457.0,1166.0,326.0,335.0,1470.0,453.0,145.0,43.37,54.1,49.04,48.0,53.0,29.0,2734.3,2068.0,2033.99,169.0,23.3,28.51,28.57,141.25,139.7,135.28,1788.79,177.16,125.44,414.12,59.12,989.31,699.84,169.29,180.19,172.22,1788.0,677.0,839.0,3304.0,197.0,175.0,34.0,432.0,57.0,794.0,810.0,1591.0,2268.0,165.0,361.0,1598.0,871.0,342.0,314.0,1776.0,501.0,188.0,50.9,61.58,64.68,70.0,67.0,60.0,3399.35,2465.0,2522.83,136.0,27.72,39.16,39.16,165.73,168.6,164.49
CBJ,2022,CBJ,CBJ,Team Level,5on5,51,0.44,0.45,0.45,151084.0,1168.92,97.08,77.48,280.4,38.9,634.22,476.91,94.39,95.52,92.89,1140.0,465.0,593.0,2198.0,88.0,99.0,10.0,288.0,44.0,497.0,589.0,1052.0,1517.0,165.0,363.0,1124.0,1091.0,282.0,291.0,1192.0,337.0,76.0,35.98,40.26,20.85,38.0,40.0,10.0,2143.3,1605.0,1570.99,157.0,16.0,17.71,17.77,95.31,93.77,92.42,1406.95,124.69,93.83,340.82,46.4,771.45,563.81,119.75,127.72,122.68,1416.0,525.0,698.0,2639.0,136.0,138.0,27.0,355.0,47.0,614.0,651.0,1280.0,1805.0,141.0,313.0,1255.0,826.0,284.0,265.0,1428.0,389.0,124.0,41.15,48.0,35.54,57.0,53.0,26.0,2734.35,1941.0,1998.83,127.0,19.4,29.96,29.96,114.14,117.01,114.82
CBJ,2022,CBJ,CBJ,Team Level,4on5,51,0.16,0.15,0.17,14750.0,51.33,5.37,2.65,6.12,1.4,15.47,36.0,5.27,5.37,5.27,54.0,13.0,10.0,77.0,4.0,0.0,0.0,10.0,2.0,11.0,40.0,50.0,63.0,8.0,16.0,124.0,47.0,22.0,8.0,44.0,15.0,8.0,1.25,1.82,2.3,0.0,2.0,2.0,77.0,67.0,67.0,6.0,0.61,0.0,0.0,5.98,5.98,5.88,244.77,28.23,22.53,50.76,8.34,152.51,76.63,26.15,28.23,26.15,241.0,98.0,97.0,436.0,33.0,28.0,4.0,56.0,6.0,127.0,89.0,208.0,306.0,17.0,34.0,155.0,10.0,10.0,35.0,242.0,68.0,29.0,5.88,7.89,14.46,6.0,9.0,18.0,436.0,339.0,339.0,2.0,5.83,6.61,6.61,27.45,27.45,26.17
CBJ,2022,CBJ,CBJ,Team Level,5on4,51,0.77,0.83,0.81,11909.0,167.42,18.12,14.62,34.85,5.54,106.03,54.83,17.51,18.12,17.51,162.0,72.0,72.0,306.0,21.0,17.0,2.0,45.0,6.0,75.0,70.0,141.0,213.0,14.0,28.0,125.0,13.0,8.0,22.0,164.0,49.0,21.0,3.67,5.62,8.83,6.0,6.0,9.0,306.0,234.0,234.0,2.0,3.76,3.74,3.74,18.14,18.14,17.71,41.68,5.41,2.3,5.59,1.3,12.41,26.99,5.24,5.41,5.24,44.0,10.0,9.0,63.0,5.0,3.0,0.0,4.0,1.0,10.0,31.0,39.0,49.0,4.0,8.0,107.0,22.0,39.0,6.0,31.0,14.0,9.0,0.98,1.85,2.57,2.0,0.0,3.0,63.0,54.0,54.0,5.0,0.53,0.82,0.82,5.12,5.12,5.03
NSH,2022,NSH,NSH,Team Level,other,49,0.52,0.55,0.58,7568.0,123.55,25.97,9.47,21.68,3.97,68.61,41.3,23.76,25.97,23.76,117.0,54.0,52.0,223.0,20.0,11.0,2.0,24.0,7.0,53.0,56.0,97.0,151.0,4.0,11.0,98.0,26.0,19.0,13.0,92.0,47.0,32.0,4.08,5.47,16.42,4.0,4.0,12.0,223.0,171.0,171.0,5.0,2.74,4.14,4.14,24.56,24.56,22.95,93.28,24.06,6.29,14.68,3.08,46.43,31.47,20.97,24.06,20.97,90.0,36.0,55.0,181.0,20.0,5.0,2.0,9.0,6.0,47.0,39.0,70.0,106.0,6.0,12.0,87.0,29.0,17.0,19.0,48.0,49.0,29.0,2.17,6.03,15.85,3.0,7.0,10.0,181.0,126.0,126.0,7.0,1.82,1.58,1.58,24.29,24.29,21.87
NSH,2022,NSH,NSH,Team Level,all,49,0.49,0.49,0.49,178586.0,1573.84,171.83,115.14,355.96,52.26,872.59,613.21,162.15,172.09,162.41,1523.0,658.0,762.0,2943.0,136.0,159.0,29.0,349.0,48.0,710.0,780.0,1387.0,2045.0,202.0,488.0,1431.0,1430.0,357.0,404.0,1513.0,490.0,178.0,49.29,61.45,61.09,44.0,37.0,55.0,2949.16,2181.0,2188.81,224.0,25.76,35.27,35.27,162.33,162.46,156.75,1677.12,176.63,120.81,373.45,56.48,927.92,657.71,167.18,177.34,167.84,1685.0,628.0,782.0,3095.0,145.0,164.0,14.0,371.0,48.0,726.0,859.0,1540.0,2168.0,192.0,455.0,1346.0,1158.0,387.0,441.0,1606.0,536.0,171.0,49.68,65.44,61.52,34.0,67.0,44.0,3098.72,2313.0,2309.73,255.0,26.87,33.11,33.11,170.4,170.76,164.91
NSH,2022,NSH,NSH,Team Level,5on5,49,0.5,0.49,0.49,140122.0,1207.0,115.8,84.0,287.19,39.92,661.05,478.04,110.4,116.06,110.67,1170.0,496.0,593.0,2259.0,93.0,128.0,24.0,275.0,36.0,539.0,596.0,1077.0,1573.0,182.0,445.0,1082.0,1333.0,290.0,338.0,1197.0,357.0,112.0,38.57,45.28,31.96,36.0,28.0,29.0,2265.16,1666.0,1673.81,200.0,17.5,27.29,27.69,105.6,105.74,103.34,1257.25,116.0,86.03,293.93,41.98,693.51,506.55,111.7,116.71,112.37,1261.0,477.0,598.0,2336.0,89.0,120.0,9.0,297.0,31.0,520.0,681.0,1172.0,1649.0,175.0,421.0,979.0,1072.0,317.0,346.0,1240.0,399.0,99.0,39.25,49.17,27.57,27.0,45.0,17.0,2339.72,1738.0,1734.73,219.0,17.81,24.13,24.23,109.58,109.95,107.85
NSH,2022,NSH,NSH,Team Level,4on5,49,0.12,0.1,0.12,16273.0,39.15,4.23,2.24,5.49,1.25,12.19,26.59,4.14,4.23,4.14,37.0,15.0,6.0,58.0,2.0,3.0,0.0,6.0,1.0,12.0,28.0,35.0,50.0,4.0,8.0,128.0,52.0,40.0,19.0,34.0,13.0,5.0,1.22,1.63,1.39,1.0,1.0,0.0,58.0,52.0,52.0,17.0,0.51,0.52,0.52,4.22,4.22,4.2,280.76,32.18,26.01,58.5,10.03,173.56,87.74,30.12,32.18,30.12,280.0,108.0,122.0,510.0,32.0,39.0,3.0,59.0,11.0,148.0,99.0,248.0,356.0,6.0,12.0,163.0,22.0,11.0,48.0,278.0,70.0,40.0,6.91,8.13,17.14,3.0,13.0,16.0,510.0,388.0,388.0,4.0,6.67,7.4,7.3,31.54,31.54,30.22
