team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
DAL,2022,DAL,DAL,Team Level,other,53,0.61,0.52,0.52,5930.0,94.66,23.89,6.58,17.1,3.41,48.42,30.6,22.97,23.89,22.97,94.0,36.0,51.0,181.0,22.0,10.0,1.0,16.0,2.0,44.0,36.0,72.0,108.0,5.0,10.0,81.0,20.0,12.0,12.0,60.0,33.0,37.0,2.23,4.24,17.43,3.0,4.0,15.0,181.0,130.0,130.0,7.0,1.88,1.87,1.87,23.91,23.91,23.36,89.41,15.3,6.72,17.44,3.05,48.36,31.13,14.51,15.3,14.51,84.0,38.0,43.0,165.0,18.0,9.0,3.0,12.0,0.0,39.0,44.0,66.0,104.0,1.0,2.0,81.0,20.0,15.0,15.0,65.0,36.0,21.0,2.47,4.32,8.51,3.0,8.0,7.0,165.0,122.0,122.0,7.0,1.92,1.49,1.49,15.73,15.73,14.97
DAL,2022,DAL,DAL,Team Level,all,53,0.54,0.51,0.5,193408.0,1690.57,182.67,117.01,398.16,57.66,925.46,657.05,173.51,185.05,175.8,1708.0,630.0,883.0,3221.0,178.0,176.0,28.0,318.0,56.0,762.0,848.0,1530.0,2160.0,193.0,426.0,1711.0,1104.0,358.0,479.0,1656.0,478.0,204.0,48.96,58.78,74.93,60.0,53.0,65.0,3279.77,2338.0,2372.42,250.0,26.05,39.41,39.47,169.26,171.42,166.48,1658.64,155.07,115.7,384.95,54.93,924.5,667.86,149.95,154.24,149.12,1645.0,658.0,786.0,3089.0,134.0,137.0,21.0,332.0,29.0,791.0,880.0,1511.0,2169.0,179.0,426.0,1417.0,1310.0,361.0,472.0,1688.0,455.0,160.0,47.09,55.81,52.17,42.0,53.0,39.0,3052.81,2303.0,2282.73,240.0,25.45,27.4,27.4,153.11,152.02,148.8
DAL,2022,DAL,DAL,Team Level,5on5,53,0.52,0.51,0.5,155005.0,1293.15,114.46,86.17,318.46,44.09,713.69,519.13,110.08,116.84,112.36,1295.0,501.0,711.0,2507.0,112.0,127.0,19.0,249.0,47.0,581.0,680.0,1183.0,1684.0,171.0,382.0,1306.0,1012.0,304.0,400.0,1312.0,375.0,109.0,39.06,45.87,29.53,47.0,41.0,24.0,2565.77,1796.0,1830.42,215.0,17.85,25.31,25.64,106.67,108.84,106.85,1287.01,106.12,84.08,311.9,42.23,712.41,528.26,103.22,105.3,102.39,1265.0,520.0,624.0,2409.0,85.0,104.0,15.0,270.0,22.0,604.0,700.0,1180.0,1700.0,159.0,386.0,1072.0,1224.0,304.0,397.0,1357.0,327.0,101.0,38.25,40.37,27.51,35.0,34.0,16.0,2372.81,1785.0,1764.73,211.0,17.34,20.63,20.63,102.83,101.73,100.36
DAL,2022,DAL,DAL,Team Level,4on5,53,0.13,0.13,0.15,18062.0,44.83,4.36,2.03,6.83,1.42,13.86,30.5,4.15,4.36,4.15,51.0,8.0,8.0,67.0,6.0,3.0,0.0,4.0,1.0,8.0,37.0,45.0,53.0,4.0,8.0,169.0,58.0,30.0,26.0,43.0,10.0,6.0,1.22,1.35,1.79,0.0,3.0,3.0,67.0,59.0,59.0,24.0,0.47,0.74,0.74,4.09,4.09,4.05,240.69,29.24,22.64,49.56,8.22,149.88,79.47,27.92,29.24,27.92,242.0,97.0,109.0,448.0,28.0,23.0,3.0,45.0,6.0,138.0,99.0,214.0,311.0,11.0,22.0,140.0,30.0,9.0,43.0,229.0,78.0,32.0,5.32,9.38,14.55,3.0,9.0,16.0,448.0,339.0,339.0,6.0,5.67,4.96,4.96,29.96,29.96,28.91
DAL,2022,DAL,DAL,Team Level,5on4,53,0.9,0.87,0.86,14411.0,257.92,39.95,22.23,55.77,8.76,149.48,76.81,36.32,39.95,36.32,268.0,85.0,113.0,466.0,38.0,36.0,8.0,49.0,6.0,129.0,95.0,230.0,315.0,13.0,26.0,155.0,14.0,12.0,41.0,241.0,60.0,52.0,6.44,7.33,26.18,10.0,5.0,23.0,466.0,353.0,353.0,4.0,5.85,11.5,11.22,34.59,34.59,32.22,41.53,4.4,2.27,6.04,1.44,13.85,29.0,4.3,4.4,4.3,54.0,3.0,10.0,67.0,3.0,1.0,0.0,5.0,1.0,10.0,37.0,51.0,54.0,8.0,16.0,124.0,36.0,33.0,17.0,37.0,14.0,6.0,1.05,1.74,1.61,1.0,2.0,0.0,67.0,57.0,57.0,16.0,0.52,0.32,0.32,4.6,4.6,4.56
WPG,2022,WPG,WPG,Team Level,other,52,0.54,0.55,0.56,7189.0,106.5,23.92,8.11,18.31,3.58,61.43,32.65,21.93,23.92,21.93,104.0,44.0,41.0,189.0,34.0,7.0,3.0,14.0,2.0,56.0,35.0,70.0,114.0,2.0,4.0,75.0,26.0,14.0,15.0,70.0,48.0,30.0,2.81,5.75,15.37,6.0,11.0,17.0,189.0,148.0,148.0,7.0,2.41,2.27,2.27,24.07,24.07,22.89,83.95,20.57,5.7,15.45,2.8,43.84,28.64,19.79,20.57,19.79,80.0,37.0,37.0,154.0,19.0,5.0,1.0,15.0,2.0,45.0,31.0,61.0,98.0,5.0,10.0,80.0,28.0,9.0,14.0,60.0,27.0,30.0,2.4,3.41,14.76,5.0,4.0,10.0,154.0,117.0,117.0,10.0,1.62,1.24,1.24,20.94,20.94,20.25
WPG,2022,WPG,WPG,Team Level,all,52,0.51,0.51,0.51,188090.0,1644.19,169.32,116.1,374.55,54.85,927.71,652.46,160.77,169.39,160.86,1570.0,725.0,737.0,3032.0,166.0,145.0,24.0,321.0,46.0,817.0,800.0,1404.0,2129.0,181.0,407.0,1348.0,1168.0,379.0,456.0,1653.0,464.0,178.0,50.2,56.37,62.76,62.0,60.0,44.0,3043.55,2295.0,2304.63,323.0,25.89,31.06,31.13,164.08,164.6,159.33,1595.68,160.8,111.6,368.16,52.62,884.0,642.82,152.81,160.68,152.77,1610.0,610.0,713.0,2933.0,137.0,135.0,19.0,313.0,43.0,735.0,857.0,1473.0,2083.0,198.0,433.0,1435.0,1140.0,344.0,490.0,1587.0,467.0,166.0,45.56,58.29,56.95,46.0,45.0,46.0,2924.49,2220.0,2215.35,370.0,24.53,29.65,29.65,155.68,155.58,150.91
WPG,2022,WPG,WPG,Team Level,5on5,52,0.5,0.5,0.5,152142.0,1269.46,112.8,85.32,303.24,42.46,713.31,520.88,108.46,112.86,108.56,1221.0,557.0,588.0,2366.0,102.0,112.0,16.0,262.0,39.0,619.0,644.0,1119.0,1676.0,165.0,377.0,1062.0,1081.0,318.0,375.0,1318.0,347.0,113.0,40.05,42.57,30.17,49.0,40.0,13.0,2377.55,1778.0,1787.63,281.0,17.66,22.75,22.82,107.63,108.15,106.05,1268.51,111.12,85.04,306.42,41.7,700.94,516.78,106.14,110.99,106.09,1287.0,475.0,563.0,2325.0,94.0,112.0,15.0,264.0,35.0,567.0,690.0,1193.0,1668.0,175.0,387.0,1079.0,1050.0,292.0,409.0,1301.0,361.0,100.0,37.66,45.57,27.89,38.0,35.0,21.0,2316.49,1762.0,1757.35,317.0,17.59,25.01,25.01,103.7,103.6,101.57
WPG,2022,WPG,WPG,Team Level,4on5,52,0.09,0.1,0.13,13900.0,32.46,2.54,1.48,4.42,0.9,9.61,23.06,2.49,2.54,2.49,31.0,11.0,3.0,45.0,3.0,0.0,0.0,0.0,1.0,9.0,29.0,28.0,39.0,5.0,10.0,90.0,44.0,36.0,31.0,33.0,7.0,2.0,1.0,1.04,0.5,1.0,2.0,0.0,45.0,42.0,42.0,31.0,0.35,0.0,0.0,2.89,2.89,2.83,195.3,24.36,18.45,39.96,6.79,124.98,64.45,22.23,24.36,22.23,188.0,91.0,105.0,384.0,22.0,17.0,3.0,31.0,6.0,115.0,88.0,166.0,257.0,11.0,22.0,129.0,15.0,10.0,25.0,184.0,67.0,28.0,4.58,7.71,12.07,3.0,5.0,14.0,384.0,279.0,279.0,2.0,4.76,3.12,3.12,26.0,26.0,24.05
WPG,2022,WPG,WPG,Team Level,5on4,52,0.86,0.86,0.84,14859.0,235.77,30.06,21.19,48.58,7.92,143.37,75.88,27.88,30.06,27.88,214.0,113.0,105.0,432.0,27.0,26.0,5.0,45.0,4.0,133.0,92.0,187.0,300.0,9.0,16.0,121.0,17.0,11.0,35.0,232.0,62.0,33.0,6.33,7.02,16.72,6.0,7.0,14.0,432.0,327.0,327.0,4.0,5.47,6.05,6.05,29.49,29.49,27.56,47.92,4.75,2.41,6.33,1.32,14.24,32.95,4.65,4.75,4.65,55.0,7.0,8.0,70.0,2.0,1.0,0.0,3.0,0.0,8.0,48.0,53.0,60.0,7.0,14.0,147.0,47.0,33.0,42.0,42.0,12.0,8.0,0.92,1.6,2.23,0.0,1.0,1.0,70.0,62.0,62.0,41.0,0.56,0.27,0.27,5.04,5.04,5.03
